Close,Date,High,Low,Open,Volume
1.12791,2015-09-10T19:00:00.000000000Z,1.12929,1.12697,1.12853,2309
1.1288,2015-09-10T21:00:00.000000000Z,1.12946,1.12731,1.12787,1966
1.12782,2015-09-10T23:00:00.000000000Z,1.13019,1.12742,1.12883,1835
1.12821,2015-09-11T01:00:00.000000000Z,1.12836,1.12759,1.12785,1005
1.1287,2015-09-11T03:00:00.000000000Z,1.12877,1.12811,1.12818,569
1.12843,2015-09-11T05:00:00.000000000Z,1.13045,1.12751,1.12872,2672
1.12907,2015-09-11T07:00:00.000000000Z,1.131,1.12792,1.12844,4985
1.12687,2015-09-11T09:00:00.000000000Z,1.12935,1.126,1.12909,3394
1.12786,2015-09-11T11:00:00.000000000Z,1.12835,1.12543,1.1269,3598
1.12791,2015-09-11T13:00:00.000000000Z,1.12994,1.12744,1.12789,4486
1.13447,2015-09-11T15:00:00.000000000Z,1.13486,1.1279,1.12794,5591
1.13363,2015-09-11T17:00:00.000000000Z,1.13494,1.13343,1.13451,2516
1.1338,2015-09-11T19:00:00.000000000Z,1.13427,1.13279,1.1336,1246
1.1344,2015-09-13T21:00:00.000000000Z,1.13596,1.13288,1.13323,1107
1.13483,2015-09-13T23:00:00.000000000Z,1.13511,1.13391,1.13443,1123
1.13433,2015-09-14T01:00:00.000000000Z,1.13482,1.13407,1.13482,875
1.13435,2015-09-14T03:00:00.000000000Z,1.13532,1.13422,1.13437,985
1.13639,2015-09-14T05:00:00.000000000Z,1.1369,1.13338,1.13431,2574
1.13374,2015-09-14T07:00:00.000000000Z,1.13733,1.13298,1.13636,3567
1.13212,2015-09-14T09:00:00.000000000Z,1.13382,1.13115,1.13377,2543
1.1344,2015-09-13T21:00:00.000000000Z,1.13596,1.13288,1.13323,1107
1.13483,2015-09-13T23:00:00.000000000Z,1.13511,1.13391,1.13443,1123
1.13433,2015-09-14T01:00:00.000000000Z,1.13482,1.13407,1.13482,875
1.13435,2015-09-14T03:00:00.000000000Z,1.13532,1.13422,1.13437,985
1.13639,2015-09-14T05:00:00.000000000Z,1.1369,1.13338,1.13431,2574
1.13374,2015-09-14T07:00:00.000000000Z,1.13733,1.13298,1.13636,3567
1.13212,2015-09-14T09:00:00.000000000Z,1.13382,1.13115,1.13377,2543
1.13018,2015-09-14T11:00:00.000000000Z,1.13275,1.12986,1.13215,2481
1.1284,2015-09-14T13:00:00.000000000Z,1.13216,1.12834,1.13021,3717
1.13191,2015-09-14T15:00:00.000000000Z,1.13194,1.1284,1.1284,2859
1.1314,2015-09-14T17:00:00.000000000Z,1.13207,1.13044,1.13188,1428
1.13167,2015-09-14T19:00:00.000000000Z,1.13246,1.13097,1.13142,972
1.13106,2015-09-14T21:00:00.000000000Z,1.13201,1.13103,1.13196,876
1.13055,2015-09-14T23:00:00.000000000Z,1.1312,1.1301,1.13109,1083
1.13189,2015-09-15T01:00:00.000000000Z,1.13195,1.13055,1.13058,943
1.13174,2015-09-15T03:00:00.000000000Z,1.13289,1.13123,1.13191,1083
1.12884,2015-09-15T05:00:00.000000000Z,1.13242,1.12852,1.13172,2522
1.1304,2015-09-15T07:00:00.000000000Z,1.13214,1.12843,1.12888,3737
1.13042,2015-09-15T09:00:00.000000000Z,1.13208,1.12987,1.13044,2565
1.13041,2015-09-15T11:00:00.000000000Z,1.13286,1.12937,1.13038,3741
1.13435,2015-09-14T03:00:00.000000000Z,1.13532,1.13422,1.13437,985
1.13639,2015-09-14T05:00:00.000000000Z,1.1369,1.13338,1.13431,2574
1.13374,2015-09-14T07:00:00.000000000Z,1.13733,1.13298,1.13636,3567
1.13212,2015-09-14T09:00:00.000000000Z,1.13382,1.13115,1.13377,2543
1.13018,2015-09-14T11:00:00.000000000Z,1.13275,1.12986,1.13215,2481
1.1284,2015-09-14T13:00:00.000000000Z,1.13216,1.12834,1.13021,3717
1.13191,2015-09-14T15:00:00.000000000Z,1.13194,1.1284,1.1284,2859
1.1314,2015-09-14T17:00:00.000000000Z,1.13207,1.13044,1.13188,1428
1.13167,2015-09-14T19:00:00.000000000Z,1.13246,1.13097,1.13142,972
1.13106,2015-09-14T21:00:00.000000000Z,1.13201,1.13103,1.13196,876
1.13055,2015-09-14T23:00:00.000000000Z,1.1312,1.1301,1.13109,1083
1.13189,2015-09-15T01:00:00.000000000Z,1.13195,1.13055,1.13058,943
1.13174,2015-09-15T03:00:00.000000000Z,1.13289,1.13123,1.13191,1083
1.12884,2015-09-15T05:00:00.000000000Z,1.13242,1.12852,1.13172,2522
1.1304,2015-09-15T07:00:00.000000000Z,1.13214,1.12843,1.12888,3737
1.13042,2015-09-15T09:00:00.000000000Z,1.13208,1.12987,1.13044,2565
1.13041,2015-09-15T11:00:00.000000000Z,1.13286,1.12937,1.13038,3741
